year,team,closeness,betweenness,eigenvector,katz,degree,winning_pct
1994,Kansas City Royals,0.35135135135135137,0.0013333333333333333,0.09385725499543325,0.19200074820179508,0.11538461538461539,0.547008547
1994,New York Mets,0.5306122448979592,0.15992307692307692,0.39571477989366705,0.19334745232220713,0.8076923076923077,0.4700854701
1994,Colorado Rockies,0.0,0.0,1.71045258940398e-16,0.19180740077939482,0.07692307692307693,0.452991453
1994,Washington Nationals,0.38235294117647056,0.011576923076923077,0.08560776785921578,0.1923841725386049,0.2692307692307693,0.6324786325
1994,Texas Rangers,0.4727272727272727,0.05025641025641026,0.24920119809440067,0.19257925159821937,0.38461538461538464,0.4444444444
1994,Milwaukee Brewers,0.4642857142857143,0.01873076923076923,0.2644959210595954,0.19257925159821937,0.23076923076923078,0.452991453
1994,Minnesota Twins,0.0,0.0,1.71045258940398e-16,0.19180740077939482,0.11538461538461539,0.452991453
1994,New York Yankees,0.37142857142857144,0.012666666666666665,0.09200674527415022,0.1921929405600278,0.34615384615384615,0.5982905983
1994,Philadelphia Phillies,0.48148148148148145,0.11753846153846155,0.18686823444624062,0.19277009612584683,0.5384615384615385,0.4615384615
1994,Cleveland Guardians,0.5652173913043478,0.265,0.3609333115053911,0.19315698085997415,0.7692307692307693,0.5641025641
1994,Detroit Tigers,0.4482758620689655,0.038884615384615386,0.20746633549012,0.1923868639800526,0.3076923076923077,0.452991453
1994,Chicago White Sox,0.4406779661016949,0.11015384615384614,0.20104080260431814,0.1927697148127341,0.42307692307692313,0.5726495726
1994,Seattle Mariners,0.3333333333333333,0.0,0.04432267625722989,0.19200017086151872,0.07692307692307693,0.4188034188
1994,Boston Red Sox,0.5652173913043478,0.23224358974358972,0.37822493980479255,0.19373125873935926,0.8076923076923077,0.4615384615
1994,San Francisco Giants,0.38235294117647056,0.01971794871794872,0.11046266163512514,0.19219294171087223,0.23076923076923078,0.4700854701
1994,Los Angeles Angels,0.3611111111111111,0.025410256410256408,0.09778443594931727,0.19238474796080723,0.23076923076923078,0.4017094017
1994,Baltimore Orioles,0.41935483870967744,0.024102564102564103,0.22705982489776866,0.19257828987591188,0.3076923076923077,0.5384615385
1994,Houston Astros,0.4262295081967213,0.06710256410256411,0.11957862644781643,0.19238551710848437,0.6538461538461539,0.5641025641
1994,Los Angeles Dodgers,0.4482758620689655,0.017846153846153845,0.21918161227803598,0.19257848321777185,0.23076923076923078,0.4957264957
1994,San Diego Padres,0.3880597014925373,0.023128205128205126,0.10076393898107812,0.19238455787967304,0.6153846153846154,0.4017094017
1994,Pittsburgh Pirates,0.32098765432098764,0.005384615384615384,0.05135590708618081,0.1920003624771121,0.19230769230769232,0.452991453
1994,Chicago Cubs,0.4262295081967213,0.025128205128205128,0.1503610361570745,0.19238551864294356,0.19230769230769232,0.4188034188
1994,Toronto Blue Jays,0.30952380952380953,0.005128205128205127,0.047684069016920495,0.1920001704779039,0.15384615384615385,0.4700854701
1994,Miami Marlins,0.4482758620689655,0.01769230769230769,0.24463017580770016,0.19257848360138663,0.3076923076923077,0.4358974359
1994,Cincinnati Reds,0.4642857142857143,0.18053846153846156,0.21652005513814448,0.19296171536356607,0.576923076923077,0.5641025641
1994,Atlanta Braves,0.32098765432098764,0.006410256410256409,0.05135590708618081,0.1920003624771121,0.11538461538461539,0.5811965812
1994,St. Louis Cardinals,0.3939393939393939,0.007179487179487179,0.10189014229469251,0.19219313236742863,0.15384615384615385,0.452991453
1995,Cincinnati Reds,0.5869565217391305,0.08648602505440112,0.27323469807374734,0.1895962801370008,1.074074074074074,0.5862068966
1995,Chicago Cubs,0.5,0.05148329037217926,0.17430569861754064,0.18884072988107203,0.4074074074074074,0.5034482759
1995,Kansas City Royals,0.6136363636363636,0.11039022705689373,0.33483256524595806,0.1899737762422652,1.0,0.4827586207
1995,Washington Nationals,0.6,0.1324726318316062,0.276675448590897,0.18978455169026115,1.1481481481481481,0.4551724138
1995,New York Yankees,0.48214285714285715,0.04195449612116279,0.1418377616418175,0.1890274902022947,0.6666666666666666,0.5448275862
1995,St. Louis Cardinals,0.5869565217391305,0.07598265931599264,0.2813100172670384,0.18959647066159188,0.8518518518518519,0.4275862069
1995,Toronto Blue Jays,0.46551724137931033,0.02172565089231756,0.13323544520999311,0.18865150946273765,0.5185185185185185,0.3862068966
1995,Atlanta Braves,0.47368421052631576,0.02853917212891572,0.12433422830238325,0.18883921620641136,0.48148148148148145,0.6206896552
1995,Boston Red Sox,0.54,0.03396233000933856,0.23421966723273066,0.1892193522234164,0.5555555555555556,0.5931034483
1995,Colorado Rockies,0.46551724137931033,0.014462132517688074,0.1134981439858753,0.18865037852830585,0.25925925925925924,0.5310344828
1995,New York Mets,0.5,0.03998564746427995,0.15827064043526878,0.18884016300465062,0.6296296296296295,0.475862069
1995,Houston Astros,0.5625,0.11222378444600668,0.22471883876102203,0.1894061179935672,0.8518518518518519,0.524137931
1995,Detroit Tigers,0.54,0.04677025649247872,0.18354820631743457,0.189029190643665,0.48148148148148145,0.4137931034
1995,Los Angeles Angels,0.5,0.02579710966463103,0.12076858707797836,0.18883865045735437,0.5185185185185185,0.5379310345
1995,Milwaukee Brewers,0.45,0.006552619586807621,0.13035183287635957,0.18865113423827173,0.2222222222222222,0.4482758621
1995,Texas Rangers,0.5869565217391305,0.06690159318364447,0.28376728569383985,0.18978436623881006,0.6296296296296295,0.5103448276
1995,Chicago White Sox,0.4576271186440678,0.013964738964738963,0.1183940444445787,0.18865113123196656,0.48148148148148145,0.4689655172
1995,San Francisco Giants,0.5294117647058824,0.0213827285408482,0.2378887886876856,0.18903145908882119,0.8518518518518519,0.4620689655
1995,Miami Marlins,0.4576271186440678,0.010523992468436914,0.11004257142194085,0.18865037815251773,0.3333333333333333,0.4620689655
1995,Cleveland Guardians,0.4153846153846154,0.002033219234073935,0.07681847419385986,0.18827307651761999,0.25925925925925924,0.6896551724
1995,Seattle Mariners,0.5294117647058824,0.04508639508639509,0.24061884820226742,0.18940668656103532,1.037037037037037,0.5448275862
1995,Baltimore Orioles,0.5094339622641509,0.03179027762361096,0.1720772200939224,0.1890288124128939,0.6296296296296295,0.4896551724
1995,Los Angeles Dodgers,0.5094339622641509,0.04260790649679539,0.2001174672546019,0.18902957056548278,0.7777777777777777,0.5379310345
1995,Minnesota Twins,0.45,0.010067057823468081,0.13353722082948227,0.1886509478473503,0.48148148148148145,0.3862068966
1995,Philadelphia Phillies,0.4909090909090909,0.02603532902678202,0.16037820318726265,0.189027683733191,0.48148148148148145,0.475862069
1995,San Diego Padres,0.4576271186440678,0.006669256669256669,0.1454970682129773,0.188651700551011,0.5185185185185185,0.4827586207
1995,Oakland Athletics,0.38028169014084506,0.003836081613859392,0.051910946650121505,0.18827213103463927,0.2222222222222222,0.4620689655
1995,Pittsburgh Pirates,0.3698630136986301,0.0,0.03411360480282571,0.18808348012324339,0.07407407407407407,0.4
1996,Atlanta Braves,0.5192307692307693,0.05909878345775782,0.18966057044417237,0.18908358978855724,0.5555555555555556,0.5925925926
1996,Cincinnati Reds,0.5294117647058824,0.030296416941716087,0.18131066893567171,0.188894890596509,0.4444444444444444,0.5
1996,Oakland Athletics,0.4426229508196721,0.010305415540458277,0.10235825800808708,0.188515591686386,0.4444444444444444,0.4814814815
1996,St. Louis Cardinals,0.5192307692307693,0.02385297513502642,0.20491674002695387,0.18889583352956618,0.5925925925925926,0.5432098765
1996,Washington Nationals,0.45,0.012502723613834726,0.12387580286211658,0.18870467278793643,0.5555555555555556,0.5432098765
1996,Boston Red Sox,0.48214285714285715,0.041845172080214814,0.16747956901358843,0.18926965715050786,1.0,0.524691358
1996,New York Mets,0.6136363636363636,0.21548553535733023,0.33459112033887345,0.19040264920057756,1.1481481481481481,0.4382716049
1996,Milwaukee Brewers,0.5294117647058824,0.02940543549517909,0.20830715698001526,0.18927116900091887,0.7037037037037037,0.4938271605
1996,Los Angeles Angels,0.6,0.0893763920473322,0.3069520619313253,0.18965103363328664,0.9259259259259258,0.4320987654
1996,Chicago White Sox,0.4090909090909091,0.00444308777642111,0.08371181597099468,0.18851446080573916,0.2962962962962963,0.524691358
1996,Detroit Tigers,0.6136363636363636,0.18638065005586377,0.3688439888538314,0.1905919203171411,1.8518518518518516,0.3271604938
1996,Texas Rangers,0.5,0.014766200877311985,0.13166095184661653,0.18870504999874882,0.48148148148148145,0.5555555556
1996,Philadelphia Phillies,0.5094339622641509,0.01695093051930659,0.17596662712043706,0.1888950753489896,0.5555555555555556,0.4135802469
1996,Cleveland Guardians,0.574468085106383,0.06964108620091526,0.2611130412287966,0.18927381116813402,1.037037037037037,0.6111111111
1996,Miami Marlins,0.47368421052631576,0.045107223419189234,0.13869728572653423,0.18889243938404493,0.5555555555555556,0.4938271605
1996,Baltimore Orioles,0.46551724137931033,0.019986577999398517,0.16671502841463198,0.1890815214253333,0.4444444444444444,0.5432098765
1996,Toronto Blue Jays,0.48214285714285715,0.03781578108501185,0.12839179995051025,0.1887046735397268,0.5555555555555556,0.4567901235
1996,San Diego Padres,0.5294117647058824,0.027290314149288505,0.203704262403904,0.18889639662054475,0.8518518518518519,0.5617283951
1996,Kansas City Royals,0.4576271186440678,0.017476465446550914,0.13451428136874322,0.18870448784750823,0.5185185185185185,0.462962963
1996,New York Yankees,0.5,0.03156796906796907,0.19913923233027855,0.18908340522402423,0.6296296296296295,0.5679012346
1996,Chicago Cubs,0.38028169014084506,0.0006726812282367838,0.04951588091231686,0.18832537782471287,0.14814814814814814,0.4691358025
1996,San Francisco Giants,0.5094339622641509,0.055448259401250866,0.2034834198018717,0.18908303139626842,0.7407407407407407,0.4197530864
1996,Pittsburgh Pirates,0.48214285714285715,0.03626167280013434,0.14527403421920618,0.18889319023466553,0.7777777777777777,0.450617284
1996,Minnesota Twins,0.38571428571428573,0.010638518651339164,0.06624094926697215,0.1883265083294645,0.2222222222222222,0.4814814815
1996,Seattle Mariners,0.5625,0.06331019407942484,0.25799464476644157,0.1896491460756439,0.7777777777777777,0.524691358
1996,Los Angeles Dodgers,0.4153846153846154,0.0,0.1110431408111997,0.18851615797247356,0.2962962962962963,0.5555555556
1996,Houston Astros,0.43548387096774194,0.00391969141969142,0.11171957705050438,0.18851615759657842,0.5925925925925926,0.5061728395
1996,Colorado Rockies,0.38571428571428573,0.0,0.0520908242583208,0.18813799219836855,0.07407407407407407,0.512345679
1997,Baltimore Orioles,0.5087719298245614,0.01600229614392176,0.14615921708359664,0.1824036487364302,0.3448275862068966,0.6049382716
1997,San Diego Padres,0.6304347826086957,0.13080606302822595,0.2834526860982856,0.18367920011097513,1.4827586206896552,0.4691358025
1997,Boston Red Sox,0.5,0.029773582149133095,0.15753646560071582,0.18258532402628264,0.6206896551724138,0.4814814815
1997,Oakland Athletics,0.5471698113207547,0.03170850407520938,0.21818357925688966,0.18276918953075322,0.6551724137931034,0.4012345679
1997,Washington Nationals,0.5087719298245614,0.02938781326710454,0.23012200471503186,0.18276937446849736,0.6551724137931034,0.4814814815
1997,Kansas City Royals,0.5576923076923077,0.044430449617351965,0.2658023646920365,0.18295286810109584,0.6896551724137931,0.4135802469
1997,Philadelphia Phillies,0.47540983606557374,0.02007295865054486,0.10303278318060943,0.18240200480504049,0.3103448275862069,0.4197530864
1997,Chicago White Sox,0.4461538461538462,0.0365944366252248,0.08488978338618386,0.1824012739470468,0.7241379310344828,0.4938271605
